U+2A60 \wedgedoublebar
U+2230 \oiiint
U+D6FF \itdelta
U+D500 \bfscrw
U+02DF \ipacrossaccent
U+252C \bddvbh
U+2213 \mp
U+D645 \bfitsansJ
U+0333 \textsubdoubleline
U+D637 \itsansv
U+D6D8 \bfchi
U+D5DE \bfsansK
U+D4DE \bfscrO
U+2554 \bddVrH
U+D567 \Bbbv
U+D736 \bfitalpha
U+21E4 \barleftarrow
U+D755 \bfitvarpi
U+D6D6 \bfupsilon
U+26AA \mdwhtcircle
U+D4C4 \scro
U+D715 \itpartial
U+D77D \bfsansxi
U+D6BD \bfPhi
U+2A09 \bigtimes
U+D599 \bffrakt
U+22A4 \top
U+25E5 \urblacktriangle
U+D60D \itsansF
U+029F \textscl
U+D7E3 \sansone
U+D4BE \scri
U+222F \oiint
U+2A18 \intx
U+27E6 \lBrack
U+02DB \textogonek
U+2AF8 \gggnest
U+D452 \ite
U+2AC8 \supsim
U+27C0 \threedangle
U+2062 \invisibletimes
U+D672 \ttC
U+24CC \circledW
U+0307 \dot
U+25F3 \squareurquad
U+208E \subrparen
U+24E2 \circleds
U+260C \conjunction
U+D4D1 \bfscrB
U+2A17 \intlarhk
U+2289 \nsupseteq
U+D5FA \bfsansm
U+D492 \bfitq
U+0320 \textsubminus
U+25D4 \circleurquadblack
U+02C4 \textuptr
U+D5BE \sanse
U+D7D2 \bffour
U+D6EB \itKappa
U+291B \leftdbltail
U+D7CB \bfdigamma
U+D77B \bfsansmu
U+D566 \Bbbu
U+2773 \rbrbrak
U+2231 \intclockwise
U+D7FC \ttsix
U+2124 \BbbZ
U+02CF \textlowacute
U+27F3 \cwgapcirclearrow
U+00A6 \textbrokenbar
U+22FD \varniobar
U+D580 \bffrakU
U+22CB \leftthreetimes
U+203A \guilsinglright
U+21E1 \updasharrow
U+D51C \frakY
U+D5D6 \bfsansC
U+D495 \bfitt
U+2689 \blackcircledtwodots
U+D5E6 \bfsansS
U+2ABF \subsetplus
U+2116 \textnumero
U+2A8B \lesseqqgtr
U+D468 \bfitA
U+D798 \bfitsansIota
U+228D \cupdot
U+21D0 \Leftarrow
U+D63B \itsansz
U+2AB9 \precnapprox
U+2A11 \awint
U+2ADD \forksnot
U+D48D \bfitl
U+01AF \Uhorn
U+D4A2 \scrG
U+2954 \barupharpoonright
U+D555 \Bbbd
U+0315 \ocommatopright
U+D550 \BbbY
U+D6B1 \bfKappa
U+D6E4 \itGamma
U+0301 \acute
U+294C \updownharpoonrightleft
U+27DF \cirbot
U+225D \eqdef
U+D5D2 \sansy
U+D649 \bfitsansN
U+D69C \tts
U+D552 \Bbba
U+2925 \hksearrow
U+29AB \measangleldtosw
U+D636 \itsansu
U+23DC \overparen
U+21DB \Rrightarrow
U+2117 \textcircledP
U+222E \oint
U+D7BC \bfitsanssigma
U+D44F \itb
U+D7D4 \bfsix
U+D754 \bfitvarrho
U+03BF \upomicron
U+D611 \itsansJ
U+2AE7 \Barv
U+D654 \bfitsansY
U+0306 \breve
U+25B7 \triangleright
U+D679 \ttJ
U+295E \leftharpoondownbar
U+2A2B \minusfdots
U+D778 \bfsansiota
U+2940 \acwcirclearrow
U+03B9 \upiota
U+0395 \upEpsilon
U+2A91 \lgE
U+D6D5 \bftau
U+02C0 \textraiseglotstop
U+208D \sublparen
U+29DB \Rvzigzag
U+D665 \bfitsansp
U+026B \textltilde
U+00A8 \textasciidieresis
U+D55B \Bbbj
U+266E \natural
U+2306 \vardoublebarwedge
